Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Salesman and affiliate orders,Chrome 66.0.3359.181,,2018-05-24 14:48:33,2018-05-24 14:50:53,2m - 20.153s,PASSED
,,,,,,
Test Cases/Affiliate - BuyVTRCaDealer,Chrome 66.0.3359.181,,2018-05-24 14:48:33,2018-05-24 14:49:00,26.598s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:48:34,2018-05-24 14:48:38,3.752s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:48:38,2018-05-24 14:48:39,1.190s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, AffiliateURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:48:39,2018-05-24 14:48:39,0.054s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:48:39,2018-05-24 14:48:43,3.496s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:48:43,2018-05-24 14:48:43,0.194s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:43,2018-05-24 14:48:43,0.122s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:43,2018-05-24 14:48:43,0.098s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:43,2018-05-24 14:48:43,0.081s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:48:43,2018-05-24 14:48:44,0.482s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:48:44,2018-05-24 14:48:44,0.203s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:48:44,2018-05-24 14:48:45,0.583s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:45,0.075s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:45,0.256s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:45,0.095s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:45,0.011s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:45,0.004s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""affiliate"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:45,0.237s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:48:45,2018-05-24 14:48:50,5.102s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:48:50,2018-05-24 14:48:51,0.396s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:48:51,2018-05-24 14:48:51,0.002s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:51,2018-05-24 14:48:51,0.051s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:48:51,2018-05-24 14:48:51,0.510s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:48:51,2018-05-24 14:48:56,4.721s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:48:56,2018-05-24 14:48:56,0.062s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-24 14:48:56,2018-05-24 14:48:56,0.223s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:56,2018-05-24 14:48:56,0.045s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:56,2018-05-24 14:48:56,0.046s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:48:56,2018-05-24 14:48:58,1.281s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:48:58,2018-05-24 14:48:58,0.071s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:58,2018-05-24 14:48:58,0.051s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-24 14:48:58,2018-05-24 14:48:58,0.046s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:58,2018-05-24 14:48:58,0.036s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:48:58,2018-05-24 14:48:59,1.148s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:59,2018-05-24 14:48:59,0.052s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:59,2018-05-24 14:48:59,0.059s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:48:59,2018-05-24 14:48:59,0.057s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-24 14:48:59,2018-05-24 14:49:00,0.687s,PASSED
,,,,,,
Test Cases/Affiliate - BuyVTRConsumer,Chrome 66.0.3359.181,,2018-05-24 14:49:00,2018-05-24 14:49:22,21.656s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:49:00,2018-05-24 14:49:03,2.269s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:49:03,2018-05-24 14:49:04,1.146s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, AffiliateURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:49:04,2018-05-24 14:49:04,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:49:04,2018-05-24 14:49:06,2.414s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:06,2018-05-24 14:49:06,0.049s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:06,2018-05-24 14:49:06,0.045s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:06,2018-05-24 14:49:06,0.059s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:06,2018-05-24 14:49:06,0.055s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:49:06,2018-05-24 14:49:07,0.248s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:07,2018-05-24 14:49:07,0.116s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:07,2018-05-24 14:49:07,0.552s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:07,2018-05-24 14:49:07,0.048s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:07,2018-05-24 14:49:08,0.202s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:08,2018-05-24 14:49:08,0.084s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:49:08,2018-05-24 14:49:08,0.001s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:49:08,2018-05-24 14:49:08,0.001s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""affiliate"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:49:08,2018-05-24 14:49:08,0.053s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:49:08,2018-05-24 14:49:13,4.925s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:49:13,2018-05-24 14:49:13,0.285s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:49:13,2018-05-24 14:49:13,0.001s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:13,2018-05-24 14:49:13,0.431s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:13,2018-05-24 14:49:14,0.089s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:49:14,2018-05-24 14:49:18,4.188s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:49:18,2018-05-24 14:49:18,0.045s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-24 14:49:18,2018-05-24 14:49:18,0.239s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:18,2018-05-24 14:49:18,0.055s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:18,2018-05-24 14:49:18,0.042s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:18,2018-05-24 14:49:19,1.299s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:19,2018-05-24 14:49:19,0.059s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:19,2018-05-24 14:49:19,0.043s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-24 14:49:19,2018-05-24 14:49:20,0.037s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:20,2018-05-24 14:49:20,0.038s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:49:20,2018-05-24 14:49:21,1.325s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:21,2018-05-24 14:49:21,0.062s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:21,2018-05-24 14:49:21,0.043s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-24 14:49:21,2018-05-24 14:49:22,0.642s,PASSED
,,,,,,
Test Cases/Affiliate - BuyVTRDealer,Chrome 66.0.3359.181,,2018-05-24 14:49:22,2018-05-24 14:49:45,23.211s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:49:22,2018-05-24 14:49:25,2.312s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:49:25,2018-05-24 14:49:26,1.163s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, AffiliateURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:49:26,2018-05-24 14:49:26,0.004s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:49:26,2018-05-24 14:49:29,3.419s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:29,2018-05-24 14:49:29,0.058s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:29,2018-05-24 14:49:29,0.048s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:29,2018-05-24 14:49:29,0.043s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:29,2018-05-24 14:49:29,0.049s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:49:29,2018-05-24 14:49:30,0.238s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:30,2018-05-24 14:49:30,0.135s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:30,2018-05-24 14:49:30,0.564s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:30,2018-05-24 14:49:30,0.038s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:30,2018-05-24 14:49:31,0.206s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:31,2018-05-24 14:49:31,0.049s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:49:31,2018-05-24 14:49:31,0.000s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:49:31,2018-05-24 14:49:31,0.001s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""affiliate"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:49:31,2018-05-24 14:49:31,0.087s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:49:31,2018-05-24 14:49:35,4.820s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:49:35,2018-05-24 14:49:36,0.322s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:36,0.001s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:36,0.446s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:36,0.090s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:41,4.687s,PASSED
